Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-12-06,12,13,22.125,SEA,@,MIN,W 38-7,True,19,101,5.32,1,3,3,22,7.33,0,100.0%,7.33,1,6,1,1,0,0,0,0,44,66%,0,0%,0,0%,True,Thomas Rawls
2015,2015-12-13,13,14,22.132,SEA,@,BAL,W 35-6,True,6,44,7.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,True,Thomas Rawls
2015,2015-12-20,14,15,,SEA,,CLE,W 30-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Thomas Rawls
2015,2015-12-27,15,16,,SEA,,STL,L 17-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Thomas Rawls
2015,2016-01-03,16,17,,SEA,@,ARI,W 36-6,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Thomas Rawls
2016,2016-09-11,1,1,23.039,SEA,,MIA,W 12-10,False,12,32,2.67,0,3,3,26,8.67,0,100.0%,8.67,0,0,0,0,0,0,0,0,22,27%,0,0%,0,0%,False,Thomas Rawls
2016,2016-09-18,2,2,23.046,SEA,@,LAR,L 3-9,True,7,-7,-1.00,0,3,3,15,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,15,22%,0,0%,0,0%,True,Thomas Rawls
2016,2016-09-25,3,3,,SEA,,SFO,W 37-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls
2016,2016-10-02,4,4,,SEA,@,NYJ,W 27-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls
2016,2016-10-16,5,6,,SEA,,ATL,W 26-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls
2016,2016-10-23,6,7,,SEA,@,ARI,T 6-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls
2016,2016-10-30,7,8,,SEA,@,NOR,L 20-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls
2016,2016-11-07,8,9,,SEA,,BUF,W 31-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls
2016,2016-11-13,9,10,,SEA,@,NWE,W 31-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls
2016,2016-11-20,10,11,23.109,SEA,,PHI,W 26-15,False,14,57,4.07,0,4,3,31,10.33,0,75.0%,7.75,0,0,0,0,0,0,0,0,40,60%,0,0%,0,0%,False,Thomas Rawls
2016,2016-11-27,11,12,23.116,SEA,@,TAM,L 5-14,True,12,38,3.17,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,37,59%,0,0%,0,0%,True,Thomas Rawls
2016,2016-12-04,12,13,23.123,SEA,,CAR,W 40-7,True,15,106,7.07,2,1,1,12,12.00,0,100.0%,12.00,2,12,0,0,0,0,0,0,39,55%,0,0%,0,0%,False,Thomas Rawls
2016,2016-12-11,13,14,23.130,SEA,@,GNB,L 10-38,True,12,67,5.58,0,2,1,7,7.00,0,50.0%,3.50,0,0,0,0,0,0,0,0,37,52%,0,0%,0,0%,True,Thomas Rawls
2016,2016-12-15,14,15,23.134,SEA,,LAR,W 24-3,True,21,34,1.62,0,2,2,5,2.50,0,100.0%,2.50,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,False,Thomas Rawls
2016,2016-12-24,15,16,23.143,SEA,,ARI,L 31-34,True,8,8,1.00,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,36,43%,0,0%,0,0%,False,Thomas Rawls
2016,2017-01-01,16,17,23.151,SEA,@,SFO,W 25-23,True,8,14,1.75,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,20,31%,0,0%,0,0%,True,Thomas Rawls
2017,2017-09-10,1,1,,SEA,@,GNB,L 9-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls
2017,2017-09-17,2,2,24.045,SEA,,SFO,W 12-9,True,5,4,0.80,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,16,20%,0,0%,0,0%,False,Thomas Rawls
2017,2017-09-24,3,3,24.052,SEA,@,TEN,L 27-33,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,True,Thomas Rawls
2017,2017-10-01,4,4,,SEA,,IND,W 46-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls
2017,2017-10-08,5,5,24.066,SEA,@,LAR,W 16-10,False,8,20,2.50,0,3,2,15,7.50,0,66.7%,5.00,0,0,0,0,0,0,0,0,32,47%,0,0%,0,0%,True,Thomas Rawls
2017,2017-10-22,6,7,24.080,SEA,@,NYG,W 24-7,True,11,36,3.27,0,2,1,16,16.00,0,50.0%,8.00,0,0,1,1,0,0,0,0,29,38%,0,0%,0,0%,True,Thomas Rawls
2017,2017-10-29,7,8,24.087,SEA,,HOU,W 41-38,False,6,-1,-0.17,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,41,59%,0,0%,0,0%,False,Thomas Rawls
2017,2017-11-05,8,9,24.094,SEA,,WAS,L 14-17,False,9,39,4.33,0,2,2,31,15.50,0,100.0%,15.50,0,0,0,0,0,0,0,0,42,51%,0,0%,0,0%,False,Thomas Rawls
2017,2017-11-09,9,10,24.098,SEA,@,ARI,W 22-16,True,10,27,2.70,0,2,2,12,6.00,0,100.0%,6.00,0,0,0,0,0,0,0,0,29,46%,0,0%,0,0%,True,Thomas Rawls
2017,2017-11-20,10,11,,SEA,,ATL,L 31-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls
2017,2017-11-26,11,12,24.115,SEA,@,SFO,W 24-13,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,1,1%,0,0%,0,0%,True,Thomas Rawls
2017,2017-12-03,12,13,24.122,SEA,,PHI,W 24-10,False,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,False,Thomas Rawls
2017,2017-12-10,13,14,24.129,SEA,@,JAX,L 24-30,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,1,2%,0,0%,0,0%,True,Thomas Rawls
2017,2017-12-17,14,15,,SEA,,LAR,L 7-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Thomas Rawls
2017,2017-12-24,15,16,24.143,SEA,@,DAL,W 21-12,False,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,10,18%,0,0%,0,0%,True,Thomas Rawls
2017,2017-12-31,16,17,24.150,SEA,,ARI,L 24-26,False,3,8,2.67,0,3,2,20,10.00,0,66.7%,6.67,0,0,0,0,0,0,0,0,13,22%,0,0%,1,3%,False,Thomas Rawls
2018,2018-09-23,3,3,,CIN,@,CAR,L 21-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls
2018,2018-09-30,4,4,,CIN,@,ATL,W 37-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Thomas Rawls
2018,2018-10-07,5,5,25.065,CIN,,MIA,W 27-17,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0%,0,0%,2,7%,False,Thomas Rawls
,35 Games,,,,,,,22-13-0,False,314,1336,4.25,7,41,31,266,8.58,1,75.6%,6.49,8,48,2,2,0,2,0,0,,,,,,,False,Thomas Rawls
