Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-11-22,10,11,24.120,DEN,@,CHI,W 17-15,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,24%,True,Brandon McManus
2015,2015-11-29,11,12,24.127,DEN,,NWE,W 30-24,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,30%,False,Brandon McManus
2015,2015-12-06,12,13,24.134,DEN,@,SDG,W 17-3,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,38%,True,Brandon McManus
2015,2015-12-13,13,14,24.141,DEN,,OAK,L 12-15,False,0,0,,0,,,,4,5,80.0,0,12,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,32%,False,Brandon McManus
2015,2015-12-20,14,15,24.148,DEN,@,PIT,L 27-34,False,0,0,,0,3,4,75.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,26%,True,Brandon McManus
2015,2015-12-28,15,16,24.156,DEN,,CIN,W 20-17,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,34%,False,Brandon McManus
2015,2016-01-03,16,17,24.162,DEN,,SDG,W 27-20,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,37%,False,Brandon McManus
2016,2016-09-08,1,1,25.045,DEN,,CAR,W 21-20,False,0,0,,0,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,29%,False,Brandon McManus
2016,2016-09-18,2,2,25.055,DEN,,IND,W 34-20,False,0,0,,0,2,2,100.0,4,5,80.0,0,14,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,50%,False,Brandon McManus
2016,2016-09-25,3,3,25.062,DEN,@,CIN,W 29-17,False,0,0,,0,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,37%,True,Brandon McManus
2016,2016-10-02,4,4,25.069,DEN,@,TAM,W 27-7,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,39%,True,Brandon McManus
2016,2016-10-09,5,5,25.076,DEN,,ATL,L 16-23,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,10,33%,False,Brandon McManus
2016,2016-10-13,6,6,25.080,DEN,@,SDG,L 13-21,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,27%,True,Brandon McManus
2016,2016-10-24,7,7,25.091,DEN,,HOU,W 27-9,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,37%,False,Brandon McManus
2016,2016-10-30,8,8,25.097,DEN,,SDG,W 27-19,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,38%,False,Brandon McManus
2016,2016-11-06,9,9,25.104,DEN,@,OAK,L 20-30,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,25%,True,Brandon McManus
2016,2016-11-13,10,10,25.111,DEN,@,NOR,W 25-23,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,12,44%,True,Brandon McManus
2016,2016-11-27,11,12,25.125,DEN,,KAN,L 27-30,False,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,12,29%,False,Brandon McManus
2016,2016-12-04,12,13,25.132,DEN,@,JAX,W 20-10,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,27%,True,Brandon McManus
2016,2016-12-11,13,14,25.139,DEN,@,TEN,L 10-13,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,20%,True,Brandon McManus
2016,2016-12-18,14,15,25.146,DEN,,NWE,L 3-16,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,3,12%,False,Brandon McManus
2016,2016-12-25,15,16,25.153,DEN,@,KAN,L 10-33,False,1,6,6.00,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,19%,True,Brandon McManus
2016,2017-01-01,16,17,25.160,DEN,,OAK,W 24-6,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,38%,False,Brandon McManus
2017,2017-09-11,1,1,26.048,DEN,,LAC,W 24-21,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,38%,False,Brandon McManus
2017,2017-09-17,2,2,26.054,DEN,,DAL,W 42-17,False,0,0,,0,6,6,100.0,,1,0.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,50%,False,Brandon McManus
2017,2017-09-24,3,3,26.061,DEN,@,BUF,L 16-26,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,28%,True,Brandon McManus
2017,2017-10-01,4,4,26.068,DEN,,OAK,W 16-10,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,1,1,0,0,0,0,,0,0,0%,0,0%,10,36%,False,Brandon McManus
2017,2017-10-15,5,6,26.082,DEN,,NYG,L 10-23,False,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,25%,False,Brandon McManus
2017,2017-10-22,6,7,26.089,DEN,@,LAC,L 0-21,False,0,0,,0,,,,,,,0,0,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,1,4%,True,Brandon McManus
2017,2017-10-30,7,8,26.097,DEN,@,KAN,L 19-29,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,25%,True,Brandon McManus
2017,2017-11-05,8,9,26.103,DEN,@,PHI,L 23-51,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,31%,True,Brandon McManus
2017,2017-11-12,9,10,26.110,DEN,,NWE,L 16-41,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,31%,False,Brandon McManus
2017,2017-11-19,10,11,26.117,DEN,,CIN,L 17-20,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,8,29%,False,Brandon McManus
2017,2017-11-26,11,12,26.124,DEN,@,OAK,L 14-21,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,19%,True,Brandon McManus
2017,2017-12-03,12,13,26.131,DEN,@,MIA,L 9-35,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,12%,True,Brandon McManus
2017,2017-12-10,13,14,26.138,DEN,,NYJ,W 23-0,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,12,46%,False,Brandon McManus
2017,2017-12-14,14,15,26.142,DEN,@,IND,W 25-13,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,41%,True,Brandon McManus
2017,2017-12-24,15,16,26.152,DEN,@,WAS,L 11-27,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,1,26,26.00,0,0,0%,0,0%,5,19%,True,Brandon McManus
2017,2017-12-31,16,17,26.159,DEN,,KAN,L 24-27,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Brandon McManus
2018,2018-09-09,1,1,27.046,DEN,,SEA,W 27-24,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,11,32%,False,Brandon McManus
2018,2018-09-16,2,2,27.053,DEN,,OAK,W 20-19,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,35%,False,Brandon McManus
2018,2018-09-23,3,3,27.060,DEN,@,BAL,L 14-27,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,18%,True,Brandon McManus
2018,2018-10-01,4,4,27.068,DEN,,KAN,L 23-27,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,36%,False,Brandon McManus
2018,2018-10-07,5,5,27.074,DEN,@,NYJ,L 16-34,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,22%,True,Brandon McManus
2018,2018-10-14,6,6,27.081,DEN,,LAR,L 20-23,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Brandon McManus
2018,2018-10-18,7,7,27.085,DEN,@,ARI,W 45-10,False,0,0,,0,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,15,47%,True,Brandon McManus
2018,2018-10-28,8,8,27.095,DEN,@,KAN,L 23-30,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,9,31%,True,Brandon McManus
2018,2018-11-04,9,9,27.102,DEN,,HOU,L 17-19,False,0,0,,0,2,2,100.0,1,3,33.3,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,32%,False,Brandon McManus
2018,2018-11-18,10,11,27.116,DEN,@,LAC,W 23-22,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,7,27%,True,Brandon McManus
2018,2018-11-25,11,12,27.123,DEN,,PIT,W 24-17,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,33%,False,Brandon McManus
2018,2018-12-02,12,13,27.130,DEN,@,CIN,W 24-10,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,10,36%,True,Brandon McManus
2018,2018-12-09,13,14,27.137,DEN,@,SFO,L 14-20,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,5,19%,True,Brandon McManus
2018,2018-12-15,14,15,27.143,DEN,,CLE,L 16-17,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,9,39%,False,Brandon McManus
2018,2018-12-24,15,16,27.152,DEN,@,OAK,L 14-27,False,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,6,21%,True,Brandon McManus
2018,2018-12-30,16,17,27.158,DEN,,LAC,L 9-23,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,,0,0,0%,0,0%,4,17%,False,Brandon McManus
2019,2019-09-09,1,1,28.046,DEN,@,OAK,L 16-24,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,40%,True,Brandon McManus
2019,2019-09-15,2,2,28.052,DEN,,CHI,L 14-16,False,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,28%,False,Brandon McManus
2019,2019-09-22,3,3,28.059,DEN,@,GNB,L 16-27,False,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,True,Brandon McManus
2019,2019-09-29,4,4,28.066,DEN,,JAX,L 24-26,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,26%,False,Brandon McManus
2019,2019-10-06,5,5,28.073,DEN,@,LAC,W 20-13,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,37%,True,Brandon McManus
2019,2019-10-13,6,6,28.080,DEN,,TEN,W 16-0,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,False,Brandon McManus
2019,2019-10-17,7,7,28.084,DEN,,KAN,L 6-30,False,0,0,,0,,,,,1,0.0,0,0,0.0,0,0,0,0,0,0,0,,0,1,1%,0,0%,3,10%,False,Brandon McManus
2019,2019-10-27,8,8,28.094,DEN,@,IND,L 13-15,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,27%,True,Brandon McManus
2019,2019-11-03,9,9,28.101,DEN,,CLE,W 24-19,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,33%,False,Brandon McManus
2019,2019-11-17,10,11,28.115,DEN,@,MIN,L 23-27,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,43%,True,Brandon McManus
2019,2019-11-24,11,12,28.122,DEN,@,BUF,L 3-20,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,13%,True,Brandon McManus
2019,2019-12-01,12,13,28.129,DEN,,LAC,W 23-20,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,32%,False,Brandon McManus
2019,2019-12-08,13,14,28.136,DEN,@,HOU,W 38-24,False,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,48%,True,Brandon McManus
2019,2019-12-15,14,15,28.143,DEN,@,KAN,L 3-23,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,17%,True,Brandon McManus
2019,2019-12-22,15,16,28.150,DEN,,DET,W 27-17,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,41%,False,Brandon McManus
2019,2019-12-29,16,17,28.157,DEN,,OAK,W 16-15,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,39%,False,Brandon McManus
2020,2020-09-14,1,1,29.051,DEN,,TEN,L 14-16,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,21%,False,Brandon McManus
2020,2020-09-20,2,2,29.057,DEN,@,PIT,L 21-26,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,1,0,1,0,0,0,0,,0,0,0%,0,0%,9,30%,True,Brandon McManus
2020,2020-09-27,3,3,29.064,DEN,,TAM,L 10-28,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,False,Brandon McManus
2020,2020-10-01,4,4,29.068,DEN,@,NYJ,W 37-28,False,0,0,,0,4,4,100.0,3,3,100.0,0,13,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,15,43%,True,Brandon McManus
2020,2020-10-18,5,6,29.085,DEN,@,NWE,W 18-12,False,0,0,,0,,,,6,6,100.0,0,18,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,54%,True,Brandon McManus
2020,2020-10-25,6,7,29.092,DEN,,KAN,L 16-43,False,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,23%,False,Brandon McManus
2020,2020-11-01,7,8,29.099,DEN,,LAC,W 31-30,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,31%,False,Brandon McManus
2020,2020-11-08,8,9,29.106,DEN,@,ATL,L 27-34,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,31%,True,Brandon McManus
2020,2020-11-15,9,10,29.113,DEN,@,LVR,L 12-37,False,0,0,,0,,,,2,2,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,21%,True,Brandon McManus
2020,2020-11-22,10,11,29.120,DEN,,MIA,W 20-13,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,33%,False,Brandon McManus
2020,2020-11-29,11,12,29.127,DEN,,NOR,L 3-31,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,11%,False,Brandon McManus
2020,2020-12-06,12,13,29.134,DEN,@,KAN,L 16-22,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,True,Brandon McManus
2020,2020-12-13,13,14,29.141,DEN,@,CAR,W 32-27,False,0,0,,0,2,4,50.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,37%,True,Brandon McManus
2020,2020-12-19,14,15,,DEN,,BUF,L 19-48,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,False,Brandon McManus
2020,2020-12-27,15,16,29.155,DEN,@,LAC,L 16-19,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,37%,True,Brandon McManus
2020,2021-01-03,16,17,29.162,DEN,,LVR,L 31-32,False,0,0,,0,2,2,100.0,3,6,50.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,15,44%,False,Brandon McManus
2021,2021-09-12,1,1,30.049,DEN,@,NYG,W 27-13,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,58%,True,Brandon McManus
2021,2021-09-19,2,2,30.056,DEN,@,JAX,W 23-13,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,44%,True,Brandon McManus
2021,2021-09-26,3,3,30.063,DEN,,NYJ,W 26-0,False,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,57%,False,Brandon McManus
2021,2021-10-03,4,4,30.070,DEN,,BAL,L 7-23,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,10%,False,Brandon McManus
2021,2021-10-10,5,5,30.077,DEN,@,PIT,L 19-27,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,31%,True,Brandon McManus
2021,2021-10-17,6,6,30.084,DEN,,LVR,L 24-34,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,29%,False,Brandon McManus
2021,2021-10-21,7,7,30.088,DEN,@,CLE,L 14-17,False,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,25%,True,Brandon McManus
2021,2021-10-31,8,8,30.098,DEN,,WAS,W 17-10,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,42%,False,Brandon McManus
2021,2021-11-07,9,9,30.105,DEN,@,DAL,W 30-16,False,0,0,,0,1,2,50.0,3,4,75.0,0,10,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,57%,True,Brandon McManus
2021,2021-11-14,10,10,30.112,DEN,,PHI,L 13-30,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,29%,False,Brandon McManus
2021,2021-11-28,11,12,30.126,DEN,,LAC,W 28-13,False,0,0,,0,4,4,100.0,,,,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,45%,False,Brandon McManus
2021,2021-12-05,12,13,30.133,DEN,@,KAN,L 9-22,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,4,18%,True,Brandon McManus
2021,2021-12-12,13,14,30.140,DEN,,DET,W 38-10,False,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,55%,False,Brandon McManus
2021,2021-12-19,14,15,30.147,DEN,,CIN,L 10-15,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,23%,False,Brandon McManus
