Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-10-11,5,5,24.018,TEN,,IND,L 9-31,True,9,34,3.78,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2009,2009-10-18,6,6,24.025,TEN,@,NWE,L 0-59,True,17,128,7.53,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2009,2009-11-01,7,8,24.039,TEN,,JAX,W 30-13,True,24,228,9.50,2,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Chris Johnson
2009,2009-11-08,8,9,24.046,TEN,@,SFO,W 34-27,True,25,135,5.40,2,4,3,25,8.33,0,75.0%,6.25,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,Chris Johnson
2009,2009-11-15,9,10,24.053,TEN,,BUF,W 41-17,True,26,132,5.08,2,9,9,100,11.11,0,100.0%,11.11,0,0,,0,0,0,,0,,,,0,0,,0,,2,12,0,,0,1,0,0,,,,,,,False,Chris Johnson
2009,2009-11-23,10,11,24.061,TEN,@,HOU,W 20-17,True,29,151,5.21,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2009,2009-11-29,11,12,24.067,TEN,,ARI,W 20-17,True,18,154,8.56,1,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson
2009,2009-12-06,12,13,24.074,TEN,@,IND,L 17-27,True,27,113,4.19,0,8,6,28,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2009,2009-12-13,13,14,24.081,TEN,,STL,W 47-7,True,28,117,4.18,2,4,3,69,23.00,1,75.0%,17.25,0,0,,0,0,0,,0,,,,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,False,Chris Johnson
2009,2009-12-20,14,15,24.088,TEN,,MIA,W 27-24,True,29,104,3.59,0,3,2,55,27.50,0,66.7%,18.33,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Chris Johnson
2009,2009-12-25,15,16,24.093,TEN,,SDG,L 17-42,True,21,142,6.76,1,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,0,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson
2009,2010-01-03,16,17,24.102,TEN,@,SEA,W 17-13,True,36,134,3.72,2,6,3,20,6.67,0,50.0%,3.33,0,0,,0,0,0,,0,,,,0,0,,0,,2,12,1,1,0,0,0,0,,,,,,,True,Chris Johnson
2010,2010-09-12,1,1,24.354,TEN,,OAK,W 38-13,True,27,142,5.26,2,4,4,8,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-09-19,2,2,24.361,TEN,,PIT,L 11-19,True,16,34,2.13,0,6,5,19,3.80,0,83.3%,3.17,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-09-26,3,3,25.003,TEN,@,NYG,W 29-10,True,32,125,3.91,2,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,Chris Johnson
2010,2010-10-03,4,4,25.010,TEN,,DEN,L 20-26,True,19,53,2.79,0,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-10-10,5,5,25.017,TEN,@,DAL,W 34-27,True,19,131,6.89,2,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,,2,12,1,0,0,0,0,0,,,,,,,True,Chris Johnson
2010,2010-10-18,6,6,25.025,TEN,@,JAX,W 30-3,True,26,111,4.27,1,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Chris Johnson
2010,2010-10-24,7,7,25.031,TEN,,PHI,W 37-19,True,24,66,2.75,0,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-10-31,8,8,25.038,TEN,@,SDG,L 25-33,True,15,59,3.93,1,6,5,24,4.80,0,83.3%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Chris Johnson
2010,2010-11-14,9,10,25.052,TEN,@,MIA,L 17-29,True,17,117,6.88,1,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Chris Johnson
2010,2010-11-21,10,11,25.059,TEN,,WAS,L 16-19,True,21,130,6.19,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-11-28,11,12,25.066,TEN,@,HOU,L 0-20,True,7,5,0.71,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2010,2010-12-05,12,13,25.073,TEN,,JAX,L 6-17,True,13,53,4.08,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-12-09,13,14,25.077,TEN,,IND,L 28-30,True,22,111,5.05,1,8,8,68,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-12-19,14,15,25.087,TEN,,HOU,W 31-17,True,24,130,5.42,1,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Chris Johnson
2010,2010-12-26,15,16,25.094,TEN,@,KAN,L 14-34,True,14,58,4.14,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,1,0,0,,,,,,,True,Chris Johnson
2010,2011-01-02,16,17,25.101,TEN,@,IND,L 20-23,True,20,39,1.95,0,6,6,51,8.50,1,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-09-11,1,1,25.353,TEN,@,JAX,L 14-16,True,9,24,2.67,0,7,6,25,4.17,0,85.7%,3.57,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-09-18,2,2,25.360,TEN,,BAL,W 26-13,True,24,53,2.21,0,5,3,12,4.00,0,60.0%,2.40,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2011,2011-09-25,3,3,26.002,TEN,,DEN,W 17-14,True,13,21,1.62,0,7,4,54,13.50,0,57.1%,7.71,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2011,2011-10-02,4,4,26.009,TEN,@,CLE,W 31-13,True,23,101,4.39,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-10-09,5,5,26.016,TEN,@,PIT,L 17-38,True,14,51,3.64,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-10-23,6,7,26.030,TEN,,HOU,L 7-41,True,10,18,1.80,0,6,6,27,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,0,0,1,0,0,,,,,,,False,Chris Johnson
2011,2011-10-30,7,8,26.037,TEN,,IND,W 27-10,True,14,34,2.43,0,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2011,2011-11-06,8,9,26.044,TEN,,CIN,L 17-24,True,14,64,4.57,0,6,4,46,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2011,2011-11-13,9,10,26.051,TEN,@,CAR,W 30-3,True,27,130,4.81,1,7,4,44,11.00,0,57.1%,6.29,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-11-20,10,11,26.058,TEN,@,ATL,L 17-23,True,12,13,1.08,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-11-27,11,12,26.065,TEN,,TAM,W 23-17,True,23,190,8.26,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Chris Johnson
2011,2011-12-04,12,13,26.072,TEN,@,BUF,W 23-17,True,23,153,6.65,2,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,1,0,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-12-11,13,14,26.079,TEN,,NOR,L 17-22,True,11,23,2.09,0,6,5,43,8.60,0,83.3%,7.17,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2011,2011-12-18,14,15,26.086,TEN,@,IND,L 13-27,True,15,55,3.67,0,11,8,54,6.75,0,72.7%,4.91,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2011,2011-12-24,15,16,26.092,TEN,,JAX,W 23-17,True,15,56,3.73,0,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Chris Johnson
2011,2012-01-01,16,17,26.100,TEN,@,HOU,W 23-22,True,15,61,4.07,0,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Chris Johnson
2012,2012-09-09,1,1,26.352,TEN,,NWE,L 13-34,True,11,4,0.36,0,7,6,47,7.83,0,85.7%,6.71,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,False,Chris Johnson
2012,2012-09-16,2,2,26.359,TEN,@,SDG,L 10-38,True,8,17,2.13,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,39,98%,0,0%,0,0%,True,Chris Johnson
2012,2012-09-23,3,3,27.000,TEN,,DET,W 44-41,False,14,24,1.71,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,50,79%,0,0%,0,0%,False,Chris Johnson
2012,2012-09-30,4,4,27.007,TEN,@,HOU,L 14-38,True,25,141,5.64,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,49,79%,0,0%,0,0%,True,Chris Johnson
2012,2012-10-07,5,5,27.014,TEN,@,MIN,L 7-30,True,15,24,1.60,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,1,0,0,0,0,48,68%,0,0%,0,0%,True,Chris Johnson
2012,2012-10-11,6,6,27.018,TEN,,PIT,W 26-23,True,19,91,4.79,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,62,87%,0,0%,0,0%,False,Chris Johnson
2012,2012-10-21,7,7,27.028,TEN,@,BUF,W 35-34,True,18,195,10.83,2,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,44,69%,0,0%,0,0%,True,Chris Johnson
2012,2012-10-28,8,8,27.035,TEN,,IND,L 13-19,True,21,99,4.71,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,51,86%,0,0%,0,0%,False,Chris Johnson
2012,2012-11-04,9,9,27.042,TEN,,CHI,L 20-51,True,16,141,8.81,1,6,4,10,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,2,2,0,0,0,0,52,91%,0,0%,0,0%,False,Chris Johnson
2012,2012-11-11,10,10,27.049,TEN,@,MIA,W 37-3,True,23,126,5.48,1,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,49,80%,0,0%,0,0%,True,Chris Johnson
2012,2012-11-25,11,12,27.063,TEN,@,JAX,L 19-24,True,21,80,3.81,0,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,0,0,0,0,0,53,75%,0,0%,0,0%,True,Chris Johnson
2012,2012-12-02,12,13,27.070,TEN,,HOU,L 10-24,True,13,51,3.92,0,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,1,0,0,0,0,72,96%,0,0%,0,0%,False,Chris Johnson
2012,2012-12-09,13,14,27.077,TEN,@,IND,L 23-27,True,19,44,2.32,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,62,95%,0,0%,0,0%,True,Chris Johnson
2012,2012-12-17,14,15,27.085,TEN,,NYJ,W 14-10,True,21,122,5.81,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,58,98%,0,0%,0,0%,False,Chris Johnson
2012,2012-12-23,15,16,27.091,TEN,@,GNB,L 7-55,True,11,28,2.55,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,37,63%,0,0%,0,0%,True,Chris Johnson
2012,2012-12-30,16,17,27.098,TEN,,JAX,W 38-20,True,21,56,2.67,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,39,72%,0,0%,0,0%,False,Chris Johnson
2013,2013-09-08,1,1,27.350,TEN,@,PIT,W 16-9,True,25,70,2.80,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,43,64%,0,0%,0,0%,True,Chris Johnson
2013,2013-09-15,2,2,27.357,TEN,@,HOU,L 24-30,True,25,96,3.84,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,57,81%,0,0%,0,0%,True,Chris Johnson
2013,2013-09-22,3,3,27.364,TEN,,SDG,W 20-17,True,19,90,4.74,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,62,90%,0,0%,0,0%,False,Chris Johnson
2013,2013-09-29,4,4,28.006,TEN,,NYJ,W 38-13,True,15,21,1.40,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,45,67%,0,0%,0,0%,False,Chris Johnson
2013,2013-10-06,5,5,28.013,TEN,,KAN,L 17-26,True,10,17,1.70,0,5,4,63,15.75,1,80.0%,12.60,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,52,75%,0,0%,0,0%,False,Chris Johnson
2013,2013-10-13,6,6,28.020,TEN,@,SEA,L 13-20,True,12,33,2.75,0,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,1,0,0,50,96%,0,0%,0,0%,True,Chris Johnson
2013,2013-10-20,7,7,28.027,TEN,,SFO,L 17-31,True,9,39,4.33,0,4,4,71,17.75,1,100.0%,17.75,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,52,87%,0,0%,0,0%,False,Chris Johnson
2013,2013-11-03,8,9,28.041,TEN,@,STL,W 28-21,True,23,150,6.52,2,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,47,76%,0,0%,0,0%,True,Chris Johnson
2013,2013-11-10,9,10,28.048,TEN,,JAX,L 27-29,True,12,30,2.50,0,7,5,43,8.60,0,71.4%,6.14,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,1,0,0,0,0,55,75%,0,0%,0,0%,False,Chris Johnson
2013,2013-11-14,10,11,28.052,TEN,,IND,L 27-30,True,17,86,5.06,2,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0,0,0,0,0,0,45,80%,0,0%,0,0%,False,Chris Johnson
2013,2013-11-24,11,12,28.062,TEN,@,OAK,W 23-19,True,20,73,3.65,0,5,3,8,2.67,0,60.0%,1.60,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,60,76%,0,0%,0,0%,True,Chris Johnson
2013,2013-12-01,12,13,28.069,TEN,@,IND,L 14-22,True,18,69,3.83,0,7,6,32,5.33,1,85.7%,4.57,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,53,71%,0,0%,0,0%,True,Chris Johnson
2013,2013-12-08,13,14,28.076,TEN,@,DEN,L 28-51,True,12,46,3.83,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,1,1,0,0,0,0,30,60%,0,0%,0,0%,True,Chris Johnson
2013,2013-12-15,14,15,28.083,TEN,,ARI,L 34-37,True,13,40,3.08,0,3,3,51,17.00,1,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,59,69%,0,0%,0,0%,False,Chris Johnson
2013,2013-12-22,15,16,28.090,TEN,@,JAX,W 20-16,True,22,90,4.09,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,40,55%,0,0%,0,0%,True,Chris Johnson
2013,2013-12-29,16,17,28.097,TEN,,HOU,W 16-10,True,27,127,4.70,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,1,0,0,1,0,0,48,72%,0,0%,0,0%,False,Chris Johnson
2014,2014-09-07,1,1,28.349,NYJ,,OAK,W 19-14,True,13,68,5.23,0,5,5,23,4.60,1,100.0%,4.60,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,33,47%,0,0%,0,0%,False,Chris Johnson
2014,2014-09-14,2,2,28.356,NYJ,@,GNB,L 24-31,True,12,21,1.75,0,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,27,38%,0,0%,0,0%,True,Chris Johnson
2014,2014-09-22,3,3,28.364,NYJ,,CHI,L 19-27,True,10,34,3.40,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,27,36%,0,0%,0,0%,False,Chris Johnson
2014,2014-09-28,4,4,29.005,NYJ,,DET,L 17-24,False,6,44,7.33,1,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,0,0,0,0,0,18,28%,0,0%,0,0%,False,Chris Johnson
2014,2014-10-05,5,5,29.012,NYJ,@,SDG,L 0-31,False,7,24,3.43,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,1,1,0,0,0,0,18,32%,0,0%,0,0%,True,Chris Johnson
2014,2014-10-12,6,6,29.019,NYJ,,DEN,L 17-31,False,3,9,3.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,0,20,32%,0,0%,0,0%,False,Chris Johnson
