Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2011.0,2011-10-02,4.0,4.0,,DEN,GNB,L 23-49,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Demaryius Thomas,False,23,49
2011.0,2011-10-09,5.0,5.0,,DEN,SDG,L 24-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Demaryius Thomas,False,24,29
2011.0,2011-10-23,6.0,7.0,23.302,DEN,MIA,W 18-15,False,10,3,27,9.00,1,30.0%,2.70,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Demaryius Thomas,True,18,15
2011.0,2011-10-30,7.0,8.0,23.309,DEN,DET,L 10-45,True,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Demaryius Thomas,False,10,45
2011.0,2011-11-06,8.0,9.0,23.316,DEN,OAK,W 38-24,False,2,1,29,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Demaryius Thomas,True,38,24
2011.0,2011-11-13,9.0,10.0,23.323,DEN,KAN,W 17-10,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Demaryius Thomas,True,17,10
2011.0,2011-11-17,10.0,11.0,23.327,DEN,NYJ,W 17-13,True,6,2,37,18.50,0,33.3%,6.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Demaryius Thomas,True,17,13
2011.0,2011-11-27,11.0,12.0,23.337,DEN,SDG,W 16-13,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Demaryius Thomas,True,16,13
2011.0,2011-12-04,12.0,13.0,23.344,DEN,MIN,W 35-32,False,7,4,144,36.00,2,57.1%,20.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Demaryius Thomas,True,35,32
2011.0,2011-12-11,13.0,14.0,23.351,DEN,CHI,W 13-10,True,13,7,78,11.14,1,53.8%,6.00,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Demaryius Thomas,True,13,10
2011.0,2011-12-18,14.0,15.0,23.358,DEN,NWE,L 23-41,True,13,7,116,16.57,0,53.8%,8.92,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Demaryius Thomas,False,23,41
2011.0,2011-12-24,15.0,16.0,23.364,DEN,BUF,L 14-40,True,8,4,76,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Demaryius Thomas,False,14,40
2011.0,2012-01-01,16.0,17.0,24.007,DEN,KAN,L 3-7,False,7,3,34,11.33,0,42.9%,4.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Demaryius Thomas,False,3,7
2012.0,2012-09-09,1.0,1.0,24.259,DEN,PIT,W 31-19,True,7,5,110,22.00,1,71.4%,15.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,93%,0,0%,0,0%,False,Demaryius Thomas,True,31,19
2012.0,2012-09-17,2.0,2.0,24.267,DEN,ATL,L 21-27,True,11,8,78,9.75,1,72.7%,7.09,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,73,100%,0,0%,0,0%,True,Demaryius Thomas,False,21,27
2012.0,2012-09-23,3.0,3.0,24.273,DEN,HOU,L 25-31,True,13,3,34,11.33,0,23.1%,2.62,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,78,96%,0,0%,0,0%,False,Demaryius Thomas,False,25,31
2012.0,2012-09-30,4.0,4.0,24.28,DEN,OAK,W 37-6,True,6,5,103,20.60,0,83.3%,17.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,71,92%,0,0%,0,0%,False,Demaryius Thomas,True,37,6
2012.0,2012-10-07,5.0,5.0,24.287,DEN,NWE,L 21-31,True,11,9,180,20.00,0,81.8%,16.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,60,90%,0,0%,0,0%,True,Demaryius Thomas,False,21,31
2012.0,2012-10-15,6.0,6.0,24.295,DEN,SDG,W 35-24,True,2,2,37,18.50,1,100.0%,18.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,96%,0,0%,0,0%,True,Demaryius Thomas,True,35,24
2012.0,2012-10-28,7.0,8.0,24.308,DEN,NOR,W 34-14,True,9,7,137,19.57,1,77.8%,15.22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,84%,0,0%,1,3%,False,Demaryius Thomas,True,34,14
2012.0,2012-11-04,8.0,9.0,24.315,DEN,CIN,W 31-23,True,8,6,77,12.83,0,75.0%,9.63,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,92%,0,0%,1,3%,True,Demaryius Thomas,True,31,23
2012.0,2012-11-11,9.0,10.0,24.322,DEN,CAR,W 36-14,True,11,9,135,15.00,0,81.8%,12.27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,94%,0,0%,1,3%,True,Demaryius Thomas,True,36,14
2012.0,2012-11-18,10.0,11.0,24.329,DEN,SDG,W 30-23,True,9,3,42,14.00,1,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,93%,0,0%,1,3%,False,Demaryius Thomas,True,30,23
2012.0,2012-11-25,11.0,12.0,24.336,DEN,KAN,W 17-9,True,8,4,82,20.50,1,50.0%,10.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,97%,0,0%,0,0%,True,Demaryius Thomas,True,17,9
2012.0,2012-12-02,12.0,13.0,24.343,DEN,TAM,W 31-23,True,10,8,99,12.38,2,80.0%,9.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,70,93%,0,0%,2,6%,False,Demaryius Thomas,True,31,23
2012.0,2012-12-06,13.0,14.0,24.347,DEN,OAK,W 26-13,True,7,5,83,16.60,0,71.4%,11.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,74%,0,0%,1,4%,True,Demaryius Thomas,True,26,13
2012.0,2012-12-16,14.0,15.0,24.357,DEN,BAL,W 34-17,True,9,4,13,3.25,0,44.4%,1.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,91%,0,0%,2,6%,True,Demaryius Thomas,True,34,17
2012.0,2012-12-23,15.0,16.0,24.364,DEN,CLE,W 34-12,True,14,9,102,11.33,1,64.3%,7.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,80%,0,0%,1,4%,False,Demaryius Thomas,True,34,12
2012.0,2012-12-30,16.0,17.0,25.005,DEN,KAN,W 38-3,True,8,7,122,17.43,1,87.5%,15.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,68%,0,0%,0,0%,False,Demaryius Thomas,True,38,3
2013.0,2013-09-05,1.0,1.0,25.254,DEN,BAL,W 49-27,True,11,5,161,32.20,2,45.5%,14.64,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,68,96%,0,0%,2,5%,False,Demaryius Thomas,True,49,27
2013.0,2013-09-15,2.0,2.0,25.264,DEN,NYG,W 41-23,True,6,5,52,10.40,0,83.3%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,70,95%,0,0%,1,3%,True,Demaryius Thomas,True,41,23
2013.0,2013-09-23,3.0,3.0,25.272,DEN,OAK,W 37-21,True,11,10,94,9.40,0,90.9%,8.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,95%,0,0%,1,3%,False,Demaryius Thomas,True,37,21
2013.0,2013-09-29,4.0,4.0,25.278,DEN,PHI,W 52-20,True,10,9,86,9.56,2,90.0%,8.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,84%,0,0%,1,3%,False,Demaryius Thomas,True,52,20
2013.0,2013-10-06,5.0,5.0,25.285,DEN,DAL,W 51-48,True,6,5,57,11.40,0,83.3%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,96%,0,0%,0,0%,True,Demaryius Thomas,True,51,48
2013.0,2013-10-13,6.0,6.0,25.292,DEN,JAX,W 35-19,True,5,3,78,26.00,0,60.0%,15.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,89%,0,0%,0,0%,False,Demaryius Thomas,True,35,19
2013.0,2013-10-20,7.0,7.0,25.299,DEN,IND,L 33-39,True,9,4,82,20.50,1,44.4%,9.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,True,Demaryius Thomas,False,33,39
2013.0,2013-10-27,8.0,8.0,25.306,DEN,WAS,W 45-21,True,11,7,75,10.71,1,63.6%,6.82,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,93%,0,0%,0,0%,False,Demaryius Thomas,True,45,21
2013.0,2013-11-10,9.0,10.0,25.32,DEN,SDG,W 28-20,True,10,7,108,15.43,3,70.0%,10.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,54,90%,0,0%,0,0%,True,Demaryius Thomas,True,28,20
2013.0,2013-11-17,10.0,11.0,25.327,DEN,KAN,W 27-17,True,13,5,121,24.20,0,38.5%,9.31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,90%,0,0%,1,3%,False,Demaryius Thomas,True,27,17
2013.0,2013-11-24,11.0,12.0,25.334,DEN,NWE,L 31-34,True,9,4,41,10.25,1,44.4%,4.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,89,99%,0,0%,0,0%,True,Demaryius Thomas,False,31,34
2013.0,2013-12-01,12.0,13.0,25.341,DEN,KAN,W 35-28,True,6,3,106,35.33,0,50.0%,17.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,79%,0,0%,0,0%,True,Demaryius Thomas,True,35,28
2013.0,2013-12-08,13.0,14.0,25.348,DEN,TEN,W 51-28,True,10,7,88,12.57,1,70.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,89,94%,0,0%,0,0%,False,Demaryius Thomas,True,51,28
2013.0,2013-12-12,14.0,15.0,25.352,DEN,SDG,L 20-27,True,5,4,45,11.25,0,80.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,0,0%,False,Demaryius Thomas,False,20,27
2013.0,2013-12-22,15.0,16.0,25.362,DEN,HOU,W 37-13,True,14,8,123,15.38,1,57.1%,8.79,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,91%,0,0%,0,0%,True,Demaryius Thomas,True,37,13
2013.0,2013-12-29,16.0,17.0,26.004,DEN,OAK,W 34-14,True,6,6,113,18.83,2,100.0%,18.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,58,76%,0,0%,0,0%,True,Demaryius Thomas,True,34,14
2014.0,2014-09-07,1.0,1.0,26.256,DEN,IND,W 31-24,True,11,4,48,12.00,0,36.4%,4.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,89%,0,0%,2,7%,False,Demaryius Thomas,True,31,24
2014.0,2014-09-14,2.0,2.0,26.263,DEN,KAN,W 24-17,True,7,5,62,12.40,1,71.4%,8.86,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,92%,0,0%,0,0%,False,Demaryius Thomas,True,24,17
2014.0,2014-09-21,3.0,3.0,26.27,DEN,SEA,L 20-26,True,9,4,31,7.75,0,44.4%,3.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,70,97%,0,0%,0,0%,True,Demaryius Thomas,False,20,26
2014.0,2014-10-05,4.0,5.0,26.284,DEN,ARI,W 41-20,True,16,8,226,28.25,2,50.0%,14.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,79,98%,0,0%,0,0%,False,Demaryius Thomas,True,41,20
2014.0,2014-10-12,5.0,6.0,26.291,DEN,NYJ,W 31-17,True,12,10,124,12.40,1,83.3%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,96%,0,0%,0,0%,True,Demaryius Thomas,True,31,17
2014.0,2014-10-19,6.0,7.0,26.298,DEN,SFO,W 42-17,True,9,8,171,21.38,2,88.9%,19.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,40,67%,0,0%,0,0%,False,Demaryius Thomas,True,42,17
2014.0,2014-10-23,7.0,8.0,26.302,DEN,SDG,W 35-21,True,12,8,105,13.13,0,66.7%,8.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,91%,0,0%,1,4%,False,Demaryius Thomas,True,35,21
2014.0,2014-11-02,8.0,9.0,26.312,DEN,NWE,L 21-43,True,11,7,127,18.14,0,63.6%,11.55,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,91%,0,0%,0,0%,True,Demaryius Thomas,False,21,43
2014.0,2014-11-09,9.0,10.0,26.319,DEN,OAK,W 41-17,True,14,11,108,9.82,0,78.6%,7.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,76%,0,0%,0,0%,True,Demaryius Thomas,True,41,17
2014.0,2014-11-16,10.0,11.0,26.326,DEN,STL,L 7-22,True,10,7,103,14.71,0,70.0%,10.30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,99%,0,0%,0,0%,True,Demaryius Thomas,False,7,22
2014.0,2014-11-23,11.0,12.0,26.333,DEN,MIA,W 39-36,True,13,10,87,8.70,3,76.9%,6.69,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,75,100%,0,0%,1,4%,False,Demaryius Thomas,True,39,36
